Date	2022年12月21日水曜日 09時26分15秒
Spectrometers	USB2+H05879
ダーク	使用
リファレンス	使用
積分時間[msec]	2
平均回数	10000
ｽﾑｰｼﾞﾝｸﾞ	0
Electrical Dark	USE
ピクセル数	2048
計測モード	吸光度
保存開始波長[nm]	190.664
保存終了波長[nm]	884.878
保存ﾋﾟｯﾁ波長[nm]	全波長

>>>>>>>>>> Data Start <<<<<<<<<<<<
652.715	0.339569
653.044	0.340228
653.374	0.345559
653.704	0.340009
654.033	0.350398
654.363	0.268603
654.692	0.020716
655.022	-0.000000
655.351	-0.000000
655.680	-0.000000
656.010	-0.000000
656.339	-0.000000
656.668	-0.000000
656.997	-0.000000
657.326	0.084558
657.655	0.235213
657.984	0.349587
658.313	0.332467
658.642	0.334089
658.971	0.331492
659.300	0.329723
659.629	0.328732
659.958	0.328969
660.286	0.331687
660.615	0.329030
660.944	0.333707
661.272	0.333177
661.601	0.336206
661.929	0.333510
662.258	0.336778
662.586	0.334381
662.915	0.331248
663.243	0.333726
663.571	0.334648
663.899	0.330265
664.228	0.329921
664.556	0.332038
664.884	0.329093
665.212	0.327707
665.540	0.334502
665.868	0.334258
666.196	0.324714
666.524	0.329235
666.852	0.329435
667.179	0.326381
667.507	0.331342
667.835	0.327458
668.162	0.334362
668.490	0.329823
668.818	0.332850
669.145	0.325495
669.473	0.328657
669.800	0.328948
670.127	0.325844
670.455	0.326847
670.782	0.323452
671.109	0.323001
671.436	0.322358
671.764	0.324324
672.091	0.319844
672.418	0.320907
672.745	0.321761
673.072	0.321148
673.399	0.322503
673.726	0.320299
674.053	0.322571
674.379	0.320739
674.706	0.320868
675.033	0.323323
675.359	0.318236
675.686	0.318714
676.013	0.316805
676.339	0.315446
676.666	0.323665
676.992	0.319901
677.318	0.319128
677.645	0.318404
677.971	0.318617
678.297	0.314983
678.624	0.313279
678.950	0.316104
679.276	0.315770
679.602	0.315744
679.928	0.314577
680.254	0.314341
680.580	0.308956
680.906	0.313235
681.232	0.316254
681.558	0.312904
681.883	0.312176
682.209	0.313845
682.535	0.313153
682.860	0.310615
683.186	0.311175
683.511	0.312555
683.837	0.310860
684.162	0.310676
684.488	0.307277
684.813	0.307868
685.138	0.309010
685.464	0.306386
685.789	0.312128
686.114	0.309001
686.439	0.307127
686.764	0.307254
687.089	0.308680
687.414	0.310781
687.739	0.305559
688.064	0.305735
688.389	0.306222
688.714	0.306968
689.039	0.308171
689.363	0.304835
689.688	0.307930
690.013	0.305240
690.337	0.302800
690.662	0.304698
690.986	0.307229
691.311	0.302797
691.635	0.303393
691.959	0.304402
692.284	0.304452
692.608	0.304954
692.932	0.305002
693.256	0.307085
693.580	0.299857
693.904	0.300840
694.228	0.304858
694.552	0.299333
694.876	0.299153
695.200	0.305538
695.524	0.299453
695.848	0.300028
